date,expName,psychopyVersion,frameRate,RunNum,SetNum,FirstStim,SecondStim,Confidence,Outcome,OutcomeNum,Tone,firststim_img.started,isi_conf_stim1.started,conf_img_stim1.started,conf_resp_stim1.started,conf_resp_stim1.keys,conf_resp_stim1.rt,isi_stim,isi_stim.started,isi_stim.stopped,secondstim_img.started,isi_conf_stim2.started,conf_img_stim2.started,conf_resp_stim2.started,conf_resp_stim2.keys,conf_resp_stim2.rt,outcome_img.started,Tone.started,Tone.stopped,jitter_iti,iti.started,iti.stopped,Agent_Strength,Opponent_Strength,Agent_Health,Opponent_Health
2024-01-29_10h41.12.362,Gen_Run1_Tone,2023.1.0,59.93137856,1,1,img/Agent_LW.png,img/HS.png,img/confidence.png,img/lost.png,0,img/WhiteNoiseLong.wav,119.0789978,120.0604549,120.3108194,120.3108194,['a'],[2.2797883999883197],1,122.6125849,123.6271646,123.6271646,124.6141696,124.8646666,124.8646666,['a'],[2.388884700019844],127.5704135,127.7170081,129.0181135,2,129.0348416,131.0436541,3,2,1,3
2024-01-29_10h41.12.362,Gen_Run1_Tone,2023.1.0,59.93137856,1,1,img/Agent_LM.png,img/HS.png,img/confidence.png,img/won.png,1,img/Silent.wav,131.0436541,132.0375217,132.2878713,132.2878713,['c'],[1.849738700024318],0.5,134.155963,134.656626,134.656626,135.657259,135.9077992,135.9077992,['a'],[1.7869765000068583],138.4237006,138.4270358,,1,139.4769779,140.4856156,3,2,2,3
2024-01-29_10h41.12.362,Gen_Run1_Tone,2023.1.0,59.93137856,1,1,img/Agent_LS.png,img/AW.png,img/confidence.png,img/won.png,1,img/Silent.wav,140.4856156,141.4791263,141.7294983,141.7294983,['c'],[0.13527699996484444],1.5,141.8961668,143.3979488,143.3979488,144.3983775,144.6487711,144.6487711,['c'],[2.6869302000268362],147.653181,147.8013716,149.1051188,0.5,149.1189269,149.6198744,3,1,3,1
2024-01-29_10h41.12.362,Gen_Run1_Tone,2023.1.0,59.93137856,1,1,img/Agent_LW.png,img/HM.png,img/confidence.png,img/won.png,1,img/Silent.wav,149.6198744,150.6205248,150.8708383,150.8708383,['a'],[0.7687940999749117],2,151.6716231,153.6739518,153.6739518,154.6740684,154.9242962,154.9242962,['b'],[2.3532919000135735],157.5749443,157.7434031,159.0608881,1.5,159.0779008,160.5793543,3,2,1,2
2024-01-29_10h41.12.362,Gen_Run1_Tone,2023.1.0,59.93137856,1,1,img/Agent_LW.png,img/AM.png,img/confidence.png,img/won.png,1,img/Silent.wav,160.5793543,161.5800845,161.8305229,161.8305229,['a'],[1.7141716000041924],1.5,163.5650831,165.0662751,165.0662751,166.0673772,166.3177677,166.3177677,['b'],[0.3998029000358656],167.0165108,167.1682689,168.4692526,1,168.486136,169.4873276,3,1,1,2
2024-01-29_10h41.12.362,Gen_Run1_Tone,2023.1.0,59.93137856,1,1,img/Agent_LM.png,img/LW.png,img/confidence.png,img/won.png,1,img/Silent.wav,169.4873276,170.487937,170.738003,170.738003,['c'],[2.837520500004757],0.5,173.6072712,174.1093873,174.1093873,175.108656,175.3590294,175.3590294,['a'],[0.13869059999706224],175.8108425,175.9593586,177.2650458,2,177.2772031,179.2791914,3,3,2,1
2024-01-29_10h41.12.362,Gen_Run1_Tone,2023.1.0,59.93137856,1,1,img/Agent_LS.png,img/LW.png,img/confidence.png,img/won.png,1,img/Silent.wav,179.2791914,180.2797803,180.5301749,180.5301749,['c'],[2.437329899985343],0.5,182.9988841,183.4995518,183.4995518,184.5003271,184.750621,184.750621,['a'],[2.5540466999518685],187.6186759,187.7697641,189.075117,1,189.0875478,190.0885286,3,3,3,1
2024-01-29_10h41.12.362,Gen_Run1_Tone,2023.1.0,59.93137856,1,1,img/Agent_LS.png,img/HW.png,img/confidence.png,img/won.png,1,img/Silent.wav,190.0885286,191.0893131,191.3397126,191.3397126,['c'],[0.5089469999657013],0.5,191.8733505,192.3787334,192.3787334,193.3747087,193.6249575,193.6249575,['a'],[0.7277006999938749],194.6563382,194.8092412,196.1151556,1.5,196.1269501,197.6285854,3,2,3,1
2024-01-29_10h41.12.362,Gen_Run1_Tone,2023.1.0,59.93137856,1,1,img/Agent_LW.png,img/AS.png,img/confidence.png,img/won.png,1,img/Silent.wav,197.6285854,198.6293538,198.8796721,198.8796721,['a'],[0.10201299999607727],2,199.012898,201.0191536,201.0191536,202.0155173,202.2660037,202.2660037,['c'],[0.3009827000205405],202.8805365,203.0331785,204.3350859,0.5,204.3510304,204.8516821,3,1,1,3
2024-01-29_10h41.12.362,Gen_Run1_Tone,2023.1.0,59.93137856,1,1,img/Agent_LM.png,img/LS.png,img/confidence.png,img/lost.png,0,img/WhiteNoiseLong.wav,204.8516821,205.8523176,206.1026914,206.1026914,['c'],[1.480128999974113],2,207.6036594,209.6052544,209.6052544,210.6064798,210.8568878,210.8568878,['a'],[1.728768399974797],212.8752239,213.0419463,214.3430548,2,214.3597496,216.361826,3,3,2,3
2024-01-29_10h41.12.362,Gen_Run1_Tone,2023.1.0,59.93137856,1,1,img/Agent_LM.png,img/HM.png,img/confidence.png,img/lost.png,0,img/WhiteNoiseLong.wav,216.361826,217.3624897,217.6127898,217.6127898,['c'],[1.3859083999996074],1,219.0305816,220.0318631,220.0318631,221.0322768,221.2827015,221.2827015,['c'],[0.3583766000228934],221.933313,222.0999481,223.4010891,2,223.4177555,225.4198852,3,2,2,2
